timestamp,raw_torque_j0,smoothed_torque_j0,raw_torque_j1,smoothed_torque_j1,raw_torque_j2,smoothed_torque_j2,raw_torque_j3,smoothed_torque_j3,raw_torque_j4,smoothed_torque_j4,raw_torque_j5,smoothed_torque_j5,raw_torque_j6,smoothed_torque_j6
1765557299270392271,-13.2235,-13.2235,10.2236,10.2236,-5.6553,-5.6553,1.63174,1.63174,0.626632,0.626632,0.291374,0.291374,-0.00427029,-0.00427029
1765557299272535759,-13.5997,-13.5997,10.4657,10.4657,-5.86293,-5.86293,1.50174,1.50174,0.768062,0.768062,0.339448,0.339448,-0.00558317,-0.00558317
1765557299274774021,-12.9694,-12.9694,10.0695,10.0695,-5.51668,-5.51668,1.71694,1.71694,0.525663,0.525663,0.255181,0.255181,-0.00302689,-0.00302689
1765557299276946214,-26.3267,-26.3267,0.396002,0.396002,-21.493,-21.493,11.5602,11.5602,-2.64262,-2.64262,18.5869,18.5869,-0.46151,-0.46151
1765557299279168343,-13.8619,-13.8619,10.3006,10.3006,-6.1598,-6.1598,1.67391,1.67391,0.710256,0.710256,0.658026,0.658026,-0.0131919,-0.0131919
1765557299281334739,-13.4421,-13.4421,10.1346,10.1346,-5.89299,-5.89299,1.74753,1.74753,0.587396,0.587396,0.532173,0.532173,-0.00999027,-0.00999027
1765557299283515452,-13.4429,-13.4429,10.114,10.114,-5.8954,-5.8954,1.7592,1.7592,0.579165,0.579165,0.532972,0.532972,-0.009874,-0.009874
1765557299285657404,-13.3379,-13.3379,10.1731,10.1731,-5.80826,-5.80826,1.71334,1.71334,0.57928,0.57928,0.460983,0.460983,-0.0083867,-0.0083867
1765557299287901114,-13.1752,-13.1752,10.223,10.223,-5.68047,-5.68047,1.66836,1.66836,0.568041,0.568041,0.364882,0.364882,-0.00629728,-0.00629728
1765557299290576860,-13.315,-13.315,10.3595,10.3595,-5.75682,-5.75682,1.59855,1.59855,0.627997,0.627997,0.37951,0.37951,-0.00694668,-0.00694668
1765557299293448230,-13.0976,-13.0976,10.1344,10.1344,-5.64448,-5.64448,1.71931,1.71931,0.522423,0.522423,0.362671,0.362671,-0.00605312,-0.00605312
1765557299295715686,-13.4759,-13.4759,10.37,10.37,-5.86882,-5.86882,1.60581,1.60581,0.650895,0.650895,0.438712,0.438712,-0.00823997,-0.00823997
1765557299297828654,-13.266,-13.266,10.2042,10.2042,-5.75113,-5.75113,1.69098,1.69098,0.565282,0.565282,0.405752,0.405752,-0.00712842,-0.00712842
1765557299300511314,-13.1898,-13.1898,10.1226,10.1226,-5.71188,-5.71188,1.73546,1.73546,0.52643,0.52643,0.398997,0.398997,-0.00676486,-0.00676486
1765557299302573926,-13.7198,-13.7198,10.3534,10.3534,-6.04365,-6.04365,1.63712,1.63712,0.677741,0.677741,0.539277,0.539277,-0.0103591,-0.0103591
1765557299304713084,-13.3889,-13.3889,10.1709,10.1709,-5.84312,-5.84312,1.72363,1.72363,0.567677,0.567677,0.460198,0.460198,-0.00814787,-0.00814787
1765557299306825563,-13.3946,-13.3946,10.1704,10.1704,-5.84698,-5.84698,1.72473,1.72473,0.566491,0.566491,0.460112,0.460112,-0.00812618,-0.00812618
1765557299309004880,-13.3666,-13.3666,10.1595,10.1595,-5.82806,-5.82806,1.73059,1.73059,0.556355,0.556355,0.447199,0.447199,-0.00775237,-0.00775237
1765557299311113447,-13.6784,-13.6784,10.3186,10.3186,-6.01972,-6.01972,1.66157,1.66157,0.649337,0.649337,0.521164,0.521164,-0.00973814,-0.00973814
1765557299313332294,-13.3478,-13.3478,10.1397,10.1397,-5.81821,-5.81821,1.74207,1.74207,0.542624,0.542624,0.441132,0.441132,-0.00750362,-0.00750362
1765557299315485769,-13.3861,-13.3861,10.1907,10.1907,-5.83441,-5.83441,1.71423,1.71423,0.562956,0.562956,0.434619,0.434619,-0.00738159,-0.00738159
1765557299317735625,-13.3299,-13.3299,10.1572,10.1572,-5.80177,-5.80177,1.72992,1.72992,0.54249,0.54249,0.423017,0.423017,-0.00705999,-0.00705999
1765557299319901113,-13.3812,-13.3812,10.1799,10.1799,-5.83329,-5.83329,1.72053,1.72053,0.555677,0.555677,0.433884,0.433884,-0.00730854,-0.00730854
1765557299322046906,-13.3803,-13.3803,10.1853,10.1853,-5.83292,-5.83292,1.71818,1.71818,0.555312,0.555312,0.432523,0.432523,-0.00729235,-0.00729235
